Color,Eye_color,Height,Legs,Moustache,Tail,Weight,label
No,black,5.139999999999997,2,No,No,69.99999999999989,human
No,brown,6.799999999999962,2,No,No,64.39999999999992,human
Yes,brown,5.0,2,Yes,No,64.79999999999991,human
No,blue,5.899999999999981,2,No,No,78.79999999999987,human
No,blue,6.559999999999967,2,No,No,73.19999999999987,human
No,brown,5.559999999999988,2,No,No,65.1999999999999,human
Yes,blue,5.9599999999999795,2,Yes,No,66.3999999999999,human
No,gray,6.079999999999977,2,No,No,54.79999999999995,human
No,black,5.579999999999988,2,No,No,47.59999999999997,human
No,brown,6.059999999999977,2,No,No,60.799999999999926,human
No,gray,5.499999999999989,2,No,No,56.79999999999994,human
Yes,black,6.699999999999964,2,Yes,No,40.0,human
Yes,black,6.779999999999962,2,Yes,No,61.99999999999992,human
No,brown,5.659999999999986,2,No,No,70.39999999999989,human
Yes,blue,5.739999999999984,2,Yes,No,67.59999999999991,human
Yes,gray,6.8999999999999595,2,Yes,No,40.4,human
No,brown,5.239999999999995,2,No,No,43.19999999999999,human
No,brown,6.459999999999969,2,No,No,66.7999999999999,human
Yes,brown,5.199999999999996,2,Yes,No,77.99999999999986,human
No,brown,6.019999999999978,2,No,No,47.99999999999997,human
No,gray,6.439999999999969,2,No,No,62.39999999999992,human
Yes,blue,5.219999999999995,2,Yes,No,71.99999999999989,human
No,gray,5.519999999999989,2,No,No,43.999999999999986,human
No,black,6.259999999999973,2,No,No,62.79999999999992,human
Yes,black,6.679999999999964,2,Yes,No,46.799999999999976,human
Yes,blue,6.239999999999974,2,Yes,No,69.1999999999999,human
Yes,gray,5.099999999999998,2,Yes,No,76.79999999999987,human
Yes,gray,6.599999999999966,2,Yes,No,53.59999999999995,human
No,blue,6.0999999999999766,2,No,No,67.1999999999999,human
Yes,brown,5.3999999999999915,2,Yes,No,73.99999999999989,human
No,black,6.219999999999974,2,No,No,78.39999999999986,human
Yes,black,5.159999999999997,2,Yes,No,75.19999999999987,human
Yes,blue,6.87999999999996,2,Yes,No,44.399999999999984,human
Yes,blue,6.979999999999958,2,Yes,No,51.59999999999996,human
Yes,blue,6.41999999999997,2,Yes,No,52.799999999999955,human
Yes,blue,5.699999999999985,2,Yes,No,63.999999999999915,human
Yes,gray,5.079999999999998,2,Yes,No,58.399999999999935,human
No,brown,6.959999999999958,2,No,No,68.7999999999999,human
Yes,brown,6.359999999999971,2,Yes,No,55.99999999999994,human
Yes,blue,5.5399999999999885,2,Yes,No,67.9999999999999,human
No,blue,5.839999999999982,2,No,No,45.19999999999998,human
Yes,gray,6.499999999999968,2,Yes,No,63.599999999999916,human
Yes,gray,6.119999999999976,2,Yes,No,50.79999999999996,human
No,gray,6.539999999999967,2,No,No,49.19999999999997,human
Yes,gray,6.6199999999999655,2,Yes,No,49.599999999999966,human
No,blue,5.999999999999979,2,No,No,77.19999999999987,human
No,black,5.439999999999991,2,No,No,41.199999999999996,human
Yes,black,6.919999999999959,2,Yes,No,49.999999999999964,human
No,brown,5.619999999999987,2,No,No,68.39999999999989,human
No,blue,6.319999999999972,2,No,No,71.59999999999988,human
Yes,black,6.139999999999976,2,Yes,No,40.8,human
Yes,black,6.659999999999965,2,Yes,No,76.39999999999986,human
No,brown,6.339999999999971,2,No,No,51.99999999999996,human
Yes,gray,6.719999999999963,2,Yes,No,53.19999999999995,human
No,brown,6.579999999999966,2,No,No,41.599999999999994,human
No,gray,6.85999999999996,2,No,No,77.59999999999987,human
Yes,gray,5.379999999999992,2,Yes,No,63.19999999999992,human
Yes,gray,6.179999999999975,2,Yes,No,41.99999999999999,human
No,brown,5.879999999999981,2,No,No,46.39999999999998,human
Yes,brown,6.939999999999959,2,Yes,No,59.99999999999993,human
No,black,6.639999999999965,2,No,No,57.59999999999994,human
No,brown,5.039999999999999,2,No,No,57.999999999999936,human
Yes,gray,6.4799999999999685,2,Yes,No,45.59999999999998,human
No,brown,6.839999999999961,2,No,No,52.399999999999956,human
No,gray,6.819999999999961,2,No,No,44.79999999999998,human
Yes,black,5.359999999999992,2,Yes,No,42.79999999999999,human
No,black,5.599999999999987,2,No,No,58.79999999999993,human
No,blue,6.279999999999973,2,No,No,74.79999999999987,human
Yes,black,5.719999999999985,2,Yes,No,50.39999999999996,human
No,gray,5.759999999999984,2,No,No,61.59999999999992,human
No,blue,5.8199999999999825,2,No,No,61.199999999999925,human
Yes,brown,6.039999999999978,2,Yes,No,55.599999999999945,human
No,blue,5.279999999999994,2,No,No,57.19999999999994,human
Yes,gray,5.179999999999996,2,Yes,No,54.39999999999995,human
No,black,6.199999999999974,2,No,No,79.59999999999985,human
Yes,brown,5.91999999999998,2,Yes,No,42.39999999999999,human
No,black,5.119999999999997,2,No,No,71.19999999999989,human
Yes,gray,6.299999999999972,2,Yes,No,65.99999999999991,human
No,brown,5.47999999999999,2,No,No,69.5999999999999,human
Yes,brown,6.379999999999971,2,Yes,No,60.39999999999993,human
Yes,black,6.7599999999999625,2,Yes,No,70.7999999999999,human
No,black,5.2599999999999945,2,No,No,79.19999999999986,human
Yes,black,5.299999999999994,2,Yes,No,48.79999999999997,human
Yes,blue,5.02,2,Yes,No,48.39999999999997,human
Yes,blue,5.93999999999998,2,Yes,No,43.59999999999999,human
Yes,gray,5.319999999999993,2,Yes,No,56.39999999999994,human
Yes,black,5.779999999999983,2,Yes,No,72.79999999999988,human
Yes,gray,5.419999999999991,2,Yes,No,74.39999999999988,human
Yes,black,5.799999999999983,2,Yes,No,73.59999999999988,human
Yes,blue,5.979999999999979,2,Yes,No,59.59999999999993,human
No,gray,6.159999999999975,2,No,No,75.59999999999988,human
No,black,5.859999999999982,2,No,No,53.99999999999995,human
No,blue,5.639999999999986,2,No,No,47.199999999999974,human
No,blue,6.739999999999963,2,No,No,65.59999999999991,human
No,gray,5.45999999999999,2,No,No,55.199999999999946,human
No,black,5.339999999999993,2,No,No,51.19999999999996,human
No,blue,6.39999999999997,2,No,No,59.19999999999993,human
Yes,brown,6.519999999999968,2,Yes,No,75.99999999999987,human
Yes,blue,5.6799999999999855,2,Yes,No,45.99999999999998,human
No,brown,5.059999999999999,2,No,No,72.39999999999989,human
brown,yellow,1.0600000000000005,4,Yes,Yes,3.582706766917293,Cat
brown_white,black,0.6600000000000001,4,Yes,Yes,2.8308270676691727,Cat
gray,black,0.7700000000000002,4,Yes,Yes,0.7255639097744361,Cat
brown_white,black,1.0400000000000005,4,Yes,Yes,7.342105263157895,Cat
gray,yellow,0.6000000000000001,4,Yes,Yes,0.575187969924812,Cat
white,gray,0.8700000000000003,4,Yes,Yes,0.8759398496240601,Cat
brown_white,gray,0.7500000000000002,4,Yes,Yes,1.9285714285714284,Cat
gray,green,0.8400000000000003,4,Yes,Yes,6.815789473684211,Cat
gray,blue,1.4300000000000008,4,Yes,Yes,5.988721804511278,Cat
brown,green,1.3600000000000008,4,Yes,Yes,6.2142857142857135,Cat
black,black,1.3800000000000008,4,Yes,Yes,4.93609022556391,Cat
brown_white,blue,1.0000000000000004,4,Yes,Yes,3.507518796992481,Cat
brown,green,0.6800000000000002,4,Yes,Yes,4.7105263157894735,Cat
white,yellow,0.8200000000000003,4,Yes,Yes,5.537593984962406,Cat
gray,black,1.2600000000000007,4,Yes,Yes,1.1766917293233083,Cat
white,green,1.2900000000000007,4,Yes,Yes,5.31203007518797,Cat
gray,green,1.2300000000000006,4,Yes,Yes,5.838345864661654,Cat
gray,black,1.4400000000000008,4,Yes,Yes,1.2518796992481203,Cat
brown,blue,1.3500000000000008,4,Yes,Yes,6.43984962406015,Cat
gray,black,1.1900000000000006,4,Yes,Yes,1.7781954887218046,Cat
